word,Positive,Negative
hoàn trả,1,0
hoảng,0,1
hoang dã,0,0
Hoàng hôn,1,0
hoảng loạn,0,1
hoạt hình,1,0
hói,0,1
hối hận,0,1
hời hợt,0,1
hôi mốc,0,1
hơi ngọt,1,0
hồi sức,1,0
hối tiếc,0,1
hội tụ,1,0
hóm,1,0
hóm hỉnh,1,0
hôn,1,0
hơn hẳn,1,0
hổn hển,0,1
hỗn láo,0,1
hơn mức bình thường,1,0
hơn người,1,0
hỗn xược,0,1
hợp logic,1,0
hợp lý,1,0
hợp mốt,1,0
hợp nhãn,1,0
hợp tác,1,0
hợp với,1,0
hợp xướng,1,0
hợp ý,1,0
hư hỏng,0,1
hùng dũng,1,0
hững hờ,0,1
hướng dẫn,1,0
hữu dụng,1,0
hữu ích,1,0
hữu năng,1,0
huỷ diệt,0,1
huỷ hoại,0,1
huyền thoại,0,0
ích kỷ,0,1
kê đơn,0,0
kẻ tám lạng người nửa cân,0,0
kém,0,1
keo cú,0,1
keo kiết,0,1
kết cấu,1,0
kết hợp,1,0
kết hợp chặt chẽ,1,0
khả ái,1,0
khả bại,0,1
khả biến,0,0
khá giàu,1,0
khả kính,1,0
khả tín,1,0
khác thường,0,1
khai trương,1,0
khăm,0,1
khan hiếm,0,1
khằng định,1,0
kháng nấm,1,0
khắp thế giới,1,0
khích động,0,1
khiếm nhã,0,1
khiêm nhường,1,0
khiếm tốn,1,0
khiếp,0,1
khiêu chiến,0,1
khinh bỉ,0,1
khinh thường,0,1
khô cằn,0,1
khó chan hoà,0,1
khó gần,0,1
khó hiểu,0,1
khô khan,0,1
khờ khạo,0,0
khó lường,0,1
khó thấy,0,1
khó thở,0,1
khó xử,0,1
khoả thân,0,0
khoa trương,0,1
khoái lạc,1,0
khoan khoái,1,0
khoan thai,1,0
khóc lóc,0,1
khoe khoang,1,1
khởi đầu,1,0
khôi hài,1,0
khởi nghĩa,0,0
khôi ngô,1,0
khối u,0,1
khôn ngoan,1,0
không ái quốc,0,1
không anh linh,0,1
không bằng phẳng,0,1
không bắt buộc,0,0
không bền lòng,0,1
không bền vững,0,1
không bị biến chất,1,0
không bị chiếm,1,0
không bị chinh phục,1,0
không bị chọc tức,1,0
không bị hạn chế,1,0
không bị hư hỏng,1,0
không bị nghiện,1,0
không bị nhiễm bẩn,1,0
không bị rút cạn,1,0
không bị rút hết,1,0
không bị suy đồi,1,0
không bị táo bón,1,0
không bị tháo hết,1,0
không bị trấn áp,1,0
không cả quyết,0,1
không cân,0,1
không cân sức,0,1
không cầu kì,0,0
không cầu kỳ,0,0
không chậm trễ,1,0
không chân thật,0,1
không chân tình,0,1
không che đậy,0,1
không che giấu,0,1
không chỉ rõ,0,1
không chịu được,0,0
không chịu nổi,0,0
không cho phép,0,1
không chọc tức,1,0
không chú ý,0,1
không có hiệu lực,0,1
không có hiệu lực pháp lí,0,1
không có kế hoạch,0,1
không có khả năng,0,1
không có kịch bản,0,0
không có mắt,0,0
không có mùi vị,0,1
không có năng lực,0,1
không có năng suất,0,1
không có phép tắc,0,1
không có quai hàm,0,1
không có sẵn,0,1
không có tên tuổi,0,1
không có thiện ý,0,1
không có tiếng tăm,0,1
không có trái,0,1
không có trí thức,0,1
không có vị,0,1
không cuống,1,0
không đăng kí hộ khẩu,0,1
không đăng kí hộ tịch,0,1
không đáng tin,0,1
không đáng tin cậy,0,1
không dành riêng,0,0
không đáy,0,1
không dễ bị lừa,1,0
không dễ cảm động,0,0
không dễ gãy,1,0
không dễ vỡ,1,0
không dễ xúc cảm,0,0
không dễ xúc động,0,0
không đến nơi đến chốn,0,1
không dính,0,1
không định rõ,0,1
không đối xứng,0,1
không đủ,0,1
không đủ tiêu chuẩn,0,1
không đủ tư cách pháp lí,0,1
không dức hạnh,0,1
không đứng dắn,0,1
không đúng lề lối,0,1
không được cấp vốn,0,1
không được chỉ rõ,0,1
không được chính thức xác minh,0,1
không được chứng nhận,0,1
không được chứng thực,0,1
không được định rõ,0,1
không được ghi rõ,0,1
không được giác ngộ,0,1
không được khai sáng,0,1
không được làm sáng tỏ,0,1
không được lát đá,0,0
không được mở mắt,0,1
không được nói rõ,0,1
không dứt điểm,0,1
không dứt khoát,0,1
không ép buộc,0,0
không ghi rõ,0,1
không gì có thể phá vỡ,1,0
không giải thích được,0,1
không giao động,1,0
không gọn gàng,0,1
không hề bối rối,1,0
không hề nao núng,1,0
không hiện đại,0,1
không hiệu lực,0,1
không hộ khẩu,0,1
không hổ thẹn,1,0
không hộ tịch,0,1
không hối cải,0,1
không hồn,0,1
không hợp lý,0,1
không hợp thời,0,1
không kết nối,0,1
không khách quan,0,1
không khó tính,1,0
không khôn khéo,0,1
không khôn thiêng,0,1
không kịch bản,0,0
không kiên quyết,0,1
không kín đáo,0,1
không linh thiêng,0,1
không lo,1,0
khổng lồ,0,0
không lo sợ,1,0
không may,0,1
không mới mẻ,0,1
không muốn,0,1
không năng suất,0,1
không nao núng,1,0
không ngăn nắp,0,1
không ngang sức,0,1
không ngang tài,0,1
không ngang tài ngang sức,0,1
không nghi ngờ,1,0
không ngừng nghỉ,0,0
không nhà cửa,0,1
không nhẵn,0,1
không nhiễm bẩn,1,0
không nhu mì,0,1
không nói rõ,0,1
không phải lối,0,1
không phân biệt chủng tộc,1,0
không phép tắc,0,1
không phô trương,1,0
không phù hợp,0,1
không quan tâm đến người khác,0,1
không quan trọng,0,1
không ra gì,0,1
không rõ,0,1
không sạch sẽ,0,1
không sẵn,0,1
không sẵn có,0,1
không sẵn sàng,0,1
không sáng tỏ,0,1
không sợ sệt,1,0
không suy tính trước,0,1
không tề chỉnh,0,1
không tế nhị,0,1
không thấm,0,0
không thành thật,0,1
không thật,0,1
không thật thà,0,1
không thể,0,1
không thể chấp nhận được,0,0
không thể chịu đựng,0,0
không thể chịu đựng nổi,0,0
không thể chùi bỏ,1,0
không thể có được,0,1
không thể dựa vào được,0,1
không thể dung tha,0,1
không thể dung thứ,0,1
không thể giải thích,0,1
không thể giải thích được,0,1
không thể giữ,0,1
không thể hủy diệt,1,0
không thể khắc phục,0,1
không thể làm nguôi được,0,1
không thể lí giải,0,1
không thể nghi ngờ được,1,0
không thể phá vỡ,1,0
không thể tha thứ,0,1
không thể thanh toán,0,1
không thể thay đổi được,1,0
không thể tin cậy được,0,1
không thể xảy ra,0,1
không theo kịch bản,0,0
không theo tuần hoàn,0,0
không thích đáng,0,1
không thiêng,0,1
không thú vị,0,1
không thuận tiện,0,1
không thuỳ mị,0,1
không tiện lợi,0,1
không tiết hạnh,0,1
không tin cậy,0,1
không tin tưởng,0,1
không tinh,0,1
không trinh bạch,0,1
không trong sạch,0,1
không trung nghĩa,0,1
không trung thành,0,1
không tương đương,0,1
không văn minh,0,1
không vâng lời,0,1
không vui,0,1
không vui lòng,0,1
không vững chắc,0,1
không vướng bận,1,0
không vượt qua được,0,1
không xấu hổ,1,0
không xúc động,0,1
không yên ổn,0,1
không yêu nước,0,1
khuất,0,1
khuất tất,0,1
khuấy động,1,0
khuếch đại,0,1
khuếch tán,0,1
Khuyến cáo,1,0
khuyết điểm,0,1
kĩ càng,1,0
kì cục,0,1
kĩ lưỡng,1,0
kì quái,0,0
kì vĩ,1,0
kiểm lại,1,0
kiểm tra,1,0
kiên cố,1,0
kiên quyết,1,0
kiên tâm,1,0
kiên trì,1,0
kiệt lực,0,1
kiệt quệ,0,1
kiệt sức,0,1
kiệt tác,1,0
kiêu hãnh,1,0
kim cương,1,0
kinh khiếp,0,1
kinh nghiệm,1,0
kỳ dị,0,1
ký kết,1,0
kỹ lưỡng,1,0
kỳ quái,0,0
ký sự,1,0
lá mặt lá trái,0,1
la rầy,0,1
lạc,0,1
lạc đường,0,1
lạc lối,0,1
làm chứng,1,0
làm đau đớn,0,1
làm đẹp thêm,1,0
làm dơ,0,1
làm giảm giá trị,0,1
làm khiếp sợ,0,1
lấm lem,0,1
làm lo sợ,0,1
làm mủi lòng,1,0
làm nản lòng,0,1
làm nhục,0,1
làm nhụt chí,0,1
lạm phát,0,1
làm phiền,0,1
lắm rừng,1,0
làm sạch,1,0
làm say sưa,1,0
làm tổn thương,0,1
làm trọn,1,0
làm vừa ý,1,0
làm vui lòng,1,0
làm xong,1,0
làm yếu đi,0,1
lang băm,0,1
lặng lẽ,1,0
lặng người,0,0
lặng người đi,0,0
lang thang,0,0
lảng tránh,0,1
lạnh cứng,0,1
lãnh đạm,0,1
lành lặn,1,0
lành mạnh,1,0
lạnh mạnh,1,0
lão khoa,0,1
láo xược,0,1
lạt lẽo,0,1
láu lỉnh,0,1
lâu năm,1,0
lầy nhầy,0,1
lẹ,1,0
lễ nghi,1,0
lí thú,1,0
lịch thiệp,1,0
liên kết,1,0
liên lạc,1,0
liên minh,1,0
liều lĩnh,1,0
lính canh,1,0
lính gác,1,0
lo,0,1
lo âu,0,1
lố bịch,0,1
lơ đãng,0,1
lơ đễnh,0,1
lo lắng bứt rứt,0,1
lộ liễu,0,1
lơ mơ,0,1
loạn luân,0,1
loanh quanh,0,1
lời nguyền,0,1
lời nói châm chọc,0,1
lời nói chua cay,0,1
lời thề,1,0
lời tuyên bố,1,0
lớn,1,0
lộn ngược,0,0
lộn tùng phèo,0,1
lộn xộn,0,1
long lanh,1,0
lóng ngóng,0,1
lồng nhiệt,1,0
lòng trung thành,1,0
lùng thùng,0,1
lụng thụng,0,1
lúng túng,0,1
luồn cúi,0,1
Lương,1,0
lưỡng cư,0,1
lường được,1,0
lương tâm,1,0
lương thiện,1,0
lưỡng tính,0,1
lưu niên,1,0
lý thú,1,0
lý thuyết suông,0,1
ma cà bông,0,1
ma tà,0,1
mắc cỡ,0,1
mai mỉa,0,1
mang lời,1,0
mang lợi,1,0
mang mầm bệnh,0,1
mang tai mang tiếng,0,1
mang tai tiếng,0,1
mang tiếng,0,1
mang tính chất báng bổ,0,1
mang vi-rút,0,1
mảnh dẻ mảnh mai,1,0
mát,1,0
mát mẻ,1,0
mát rượi,1,0
mất tích,0,1
mất tiếng,0,1
mặt trơ trán bóng,0,1
mau chóng,1,0
màu mỡ,1,0
mầu mỡ,1,0
may rủi,0,1
may theo đơn đặt hàng,0,0
may theo số đo,0,0
may theo yêu cầu,0,0
mềm yếu,0,1
mến chuộng,1,0
méo xẹo,0,1
mệt,0,1
mệt bở hơi tai,0,1
mệt lả,0,1
mệt lử,0,1
mệt mỏi,0,1
mệt rã,0,1
mệt rã rời,0,1
mỉa,0,1
mỉa mai,0,1
miễn cưỡng,0,1
miễn khỏi,1,0
mỉm cười,1,0
minh bạch,1,0
mỡ màng,1,0
mờ mờ,0,1
mô phỏng,0,0
mở rộng,1,0
mờ tối,0,1
mộc mạc,1,0
mới,1,0
mới mẻ,1,0
mới mở,1,0
mới thành lập,1,0
mối tình,1,0
mòn,0,1
mong chờ,1,0
một chín một mười,0,0
một chồng,1,0
một lòng một dạ,1,0
một mặt,0,1
mọt sách,1,0
một vợ,1,0
mù chữ,0,1
mù mắt,0,1
mù mịt,0,1
mực,0,1
mục lục,1,0
mùi mẫn,0,0
mừng,1,0
mừng rỡ,1,0
mừng vui,1,0
muộn,0,1
muốn ói,0,1
muốn tìm biết,0,0
muốn tìm hiểu,0,0
mưu mô,0,1
nam châm,1,0
nản,1,0
nản lòng,0,1
nặng nề,0,1
nặng thêm,0,1
nặng trĩu,0,1
nảy nở,1,0
né,0,1
nêm chặt,0,0
nên thơ,1,0
nét đẹp,1,0
ngã lòng,0,1
ngẫm nghĩ,0,0
ngắn hủn,0,1
ngân phiếu khống,0,1
ngắn tun hủn,0,1
ngang bướng,0,1
ngang hàng,0,0
ngang ngạnh,0,1
ngang ngược,0,1
ngang sức,0,0
ngang tài,0,0
ngang tài ngang sức,0,0
ngạt,0,1
ngắt kết nối,0,1
ngây ngô,0,1
ngay thẳng,1,0
ngay thật,1,0
nghẹn,0,1
nghẹn cứng,0,1
nghẹn ứ,0,1
nghèo tài nguyên,0,1
nghèo xác,0,1
nghèo xác nghèo xơ,0,1
nghèo xác xơ,0,1
nghèo xơ nghèo xác,0,1
nghỉ,0,1
nghiền ngẫm,0,0
ngớ ngẩn,0,1
ngộ nghĩnh,1,0
ngồ ngộ,1,0
ngỗ ngược,0,1
ngoài dự kiến,0,1
ngoại quốc,0,0
ngoan,1,0
ngoan ngoãn,1,0
ngọc,1,0
ngốc nghếch,0,1
ngon,1,0
ngon ăn,1,0
ngon lành,1,0
ngòn ngọt,1,0
ngọt,0,0
ngột,0,1
ngọt dịu,1,0
ngọt lịm,1,0
ngọt lừ,1,0
ngọt lự,1,0
ngọt sắc,1,0
ngu,0,1
ngu như bò,0,1
ngu như lợn,0,1
ngu xi,0,1
ngụ ý,0,0
ngược nhau,0,1
người bảo vệ,1,0
người chỉ bảo,1,0
người chỉ huy,1,0
người đại diện sứ giả,1,0
người lãnh đạo,1,0
người tạo ra,1,0
nguồn tin cậy,1,0
nguy cấp,0,1
nguy cơ tuyệt chủng,0,1
nguyên vẹn,1,0
nhẫn nại,1,0
nhăn nhúm,0,1
nhân phẩm,1,0
nhận ra được,1,0
nhận thấy được,1,0
nhặng xị,0,1
nhão,0,1
nhạo báng,0,1
nhập nhằng,0,1
nhát,0,1
nhát chết,0,1
nhất quán,1,0
nhẹ bồng,0,0
nhẹ bỗng,0,0
nhẹ bổng,0,0
nhẹ hẫng,0,0
nhẹ tếch,0,0
nhẹ thênh,0,0
nhiệt tâm,1,0
nhiệt thành,1,0
nhiều chồng,0,1
nhiều thông tin,0,0
nho nhã,1,0
nhớ nhà,0,1
nhớ quê hương,0,1
nhọc,0,1
nhọc nhằn,0,1
như chết,1,0
như máy,0,0
như thật,1,0
nhuận tràng,1,0
nhức,0,1
nhức nhối,0,1
nhún nhường,1,0
nhược điểm,0,1
nhượng bộ,1,0
niềm kiêu hãnh,1,1
niềm nở,1,0
niêm phong,1,0
niềm vui sướng nhất,1,0
nổi bật,1,0
nổi danh,1,0
nổi dậy,0,0
nơi nương tựa,1,0
nơi sinh,0,1
nón bảo hộ,1,0
non choèn choẹt,0,1
non choét,0,1
non choẹt,0,1
nóng,0,1
nồng cháy,0,0
nồng nàn,1,0
nóng nảy,0,1
nóng nực,0,1
nốt mụn,0,1
nuôi dưỡng,1,0
nuối tiếc,0,1
nuột,1,0
núp mình,1,0
ở tu viện,0,0
oai,1,0
oải,0,1
oán hận,0,1
oi ả,0,1
ốm,0,1
ốm đau,0,1
ôn tồn,1,0
phá huỷ,0,1
phá hủy dần,0,1
phẩm giá,1,0
phân,0,1
phân bố rộng khắp,1,0
phân bố rộng rãi,1,0
phấn chấn,1,0
phản đề,0,1
phần đông,1,0
phản kháng,0,1
phân phối,1,0
phần thưởng,1,0
pháo đài,1,0
phật lòng,0,1
phát sợ,0,1
phát triển chưa đầy đủ,0,1
phê phán,0,1
phi nhân tính,0,1
phì nhiêu,1,0
phi phàm,1,0
phí phạm,0,1
phiêu lưu,0,0
phờ phạc,0,1
phó thác,1,0
phơi phới,1,0
phởn,1,0
phong cách riêng,0,0
phóng đại,0,1
phóng khoáng,1,0
phóng túng,0,1
phớt lờ,0,1
phớt tỉnh,0,1
phù hợp,1,0
phụ trợ,1,0
phúc đức,1,0
phục hồi,1,0
phung phá,0,1
phuù hợp,1,0
quá cố,0,1
quá đáng,0,1
quá khích,0,1
qua loa,0,1
quá ngọt ngào,0,0
quả quyết,1,0
quả thực,1,0
quản gia,1,0
quan lại,1,0
quản lý,1,0
quán quân,1,0
quẫn trí,0,1
quản trị,1,0
quan trọng,1,0
quang cảnh,1,1
quát tháo,0,1
quạu quọ,0,1
quây,0,0
quây kín,0,0
quây quanh,0,0
quê kệch,0,1
quê mùa,0,1
quen thân,1,0
quỉ quyệt,0,1
quở mắng,0,1
quốc tế,1,0
quý ngài,1,0
quý ông,1,0
quyền lực,1,0
quyền năng,1,0
quyết đoán,1,0
rã rời,0,1
rắc rối,0,1
rác rưởi,0,1
rầm cầu,1,0
rắn,1,0
răn bảo,1,0
rạng ngời,1,0
ranh mãnh,0,1
rào,0,0
rào chắn,0,1
rào kín,0,0
rào quanh,0,0
rất xấu,0,1
rầu,0,1
rầu rĩ,0,1
rên rỉ,0,1
rờ bến,1,0
rõ ràng,1,0
rối bời,0,1
rối bù,0,1
rối trí,0,1
rơi xuống,0,1
rộng,1,0
rủi,0,1
run,0,1
run rẩy,0,1
run run,0,1
run sợ,0,1
rừng rực,0,0
sa ngã,0,1
sẩm tối,0,1
san sóc,1,0
sáng bừng,1,0
sáng ngời,1,0
sáng rõ,1,0
sáng rực,1,0
sáng sủa,1,0
sáng suốt,1,0
sang trọng,1,0
sành điệu,1,0
sáo rỗng,0,1
sắp xảy ra,0,0
sát thực,1,0
sầu,0,1
sau cùng,0,0
sâu sắc,1,0
sâu xa,1,0
say rượu,0,1
séc khống,0,1
siêng năng,1,0
siêu nhiên,1,0
sinh động,1,0
sinh lãi,1,0
sinh quán,0,1
sinh thiết,0,1
sợ,0,1
số đỏ,1,0
sở hữu,1,0
sơ khai,0,0
sợ sệt,0,1
sở thích,1,0
sờn,0,1
sống bầy đàn,0,0
song sinh,1,0
sống thành bầy,0,0
sống thành đàn,0,0
sốt dẻo,0,0
sự ân xá,1,0
sự bảo đảm,1,0
sự bạo hành,0,1
sự chiếm đoạt,0,1
sự đối lập,0,1
sự hành hung,0,1
sự hòa hợp,1,0
sự hủy bỏ,0,1
sự khéo léo,1,0
sự khôn ngoan,1,0
sự lầm lạc,0,1
sự lục đục,0,1
sự mâu thuẫn,0,1
sự phản đối,0,1
sự phù hợp,1,0
sự thật,1,0
sư tử,1,0
sự tước đoạt,0,1
sức bền,1,0
sức mạnh,1,0
sững sờ,0,1
sung túc,1,0
suôn sẻ,1,0
sướng,1,0
sướng vui,1,0
sướt mướt,0,1
sụt sùi,0,1
suy giảm,0,1
suy ngẫm,0,0
suy nghĩ,0,0
suy thoái,0,1
tạ ơn,1,0
tác giả,1,0
tái tạo được,1,0
tai tiếng,0,1
tạm,0,1
tâm đầu ý hợp,1,0
tâm huyết,1,0
tẩm ngẩm tầm ngầm,0,0
tầm nhìn,1,0
tầm thường,0,0
tăm tối,0,1
tận tâm,1,0
tằn tiện,0,1
tận tình,1,0
tận tuỵ,1,0
tận tụy,1,0
tăng cường,1,0
tăng dần lên,1,0
tầng lớp dưới,0,1
tang quyến,0,1
táng tận lương tâm,0,1
tang tóc,0,1
táo bón,0,1
tắt thở,0,1
tệ bạc phụ bạc,0,1
tẻ nhạt,0,1
thác loạn,0,1
thách thức,0,1
thái bình,1,0
thái quá,0,1
thâm độc,0,1
thám hiểm,1,0
thấm hút,0,0
tham lam,0,1
thâm sâu,0,0
thảm sầu,0,1
thăm thẳm,0,1
thảm thương,0,1
thâm thuý,0,0
thẩm tra,1,0
than,0,1
thân ái,1,0
thần hồn nhát thần tính,0,1
thản nhiên,0,1
thán phục,1,0
thân quen,1,0
than thở,0,1
thận trọng,1,0
than vãn,0,1
thẳng thắn,1,0
thanh bình,1,0
thành cặp,0,0
thanh khiết,1,0
thanh lịch,1,0
thanh liêm,1,0
thanh lọc,1,0
thành lũy,1,0
thanh nhã,1,0
thành thật,1,0
thanh thế,1,0
thành thực,1,0
thanh tĩnh,1,0
thấp hèn,0,1
thấp hơn,0,1
thấp kém,0,1
thấp nhất,0,1
thất bại,0,1
thất học,0,1
thật lòng,1,0
thật tâm,1,0
thay đổi không ngừng,0,0
thay đổi liên tục,0,0
thay đổi từng ngày,0,0
thay thế được,0,0
Thầy tu,1,0
thề,1,0
thê lương,0,1
the thé,0,1
thèm khát,0,1
thèm muốn,0,1
theo cặp,0,0
theo hiến pháp,1,0
theo lệ,0,0
theo luật,1,0
theo truyền thống,1,0
thét mắng,0,1
thích,1,0
thích cầu nguyện,0,0
thích hoa mĩ,1,0
thích hoạt động,1,0
thích hợp,1,0
thích hợp nhất,1,0
thích khoe khoang,0,1
thích mắt,1,0
thích nhạc,1,0
thích sang trọng,1,0
thiên vị,1,0
thiếu,0,1
thiểu cẩn trọng,0,1
thiếu chủ động,0,1
thiếu hiểu biết,0,1
thiếu khéo léo,0,1
thiếu khôn khéo,0,1
thiếu khôn ngoan,0,1
thiếu kĩ năng,0,1
thiếu kiên nhẫn,0,1
thiếu kiến thức,0,1
thiếu lễ độ,0,1
thiểu não,0,1
thiếu niên,1,1
thiếu sinh khí,0,1
thiếu sót,0,1
thiếu sức sống,0,1
thiếu thẩm mỹ,0,1
thiếu tư cách,0,1
thiếu văn minh,0,1
thiếu ý thức,0,1
thỉnh cầu,1,0
thính giác,0,1
thọ,1,0
thờ cúng,0,0
thở hổn hển,0,1
thờ ơ,0,1
thờ phụng,0,0
thô tháo,0,1
thoả hiệp,0,0
thỏa ước,1,0
thoải mái,1,0
thoát ra,1,0
thoát trách nhiệm,0,1
thoát y,0,0
thói quen,1,0
thời sự,1,0
thơm tho,1,0
thống đốc,1,0
thong dong,1,0
thông thái rởm,0,1
thụ động,0,1
thư thả,1,0
thủ tục,1,0
thừa,0,1
thua trận,0,1
thuận cả hai tay,0,0
thuận mắt,1,0
thực dụng,0,1
thực hành,0,0
thực lòng,1,0
thức ra,1,0
thực tâm,1,0
thực tế,1,0
thức tỉnh,1,0
thuộc giáo dục,1,0
thuộc về ma quỷ,0,1
thượng lưu,1,0
thương người,1,0
tị nạnh,0,1
tia laze,1,0
tích cực,1,0
tiếc,0,1
tiếc nuối,0,1
tiến cử,1,0
tiện dụng,1,0
tiên sinh,1,0
tiến về phía trước,0,0
tiếng quát tháo,0,1
tiếng xấu,0,1
tiết nghĩa,1,0
tiêu biểu,0,0
tiêu hao,0,1
tiêu hoá được,1,0
tiêu khiển,1,0
tiêu tốn,0,1
tin chắc,1,0
tin được,1,0
tin tức,1,0
tính di truyền,0,0
tính nhanh,1,0
tinh quái,0,1
tinh thần thể thao,1,0
tính toán,1,0
to,1,0
to béo,0,1
tô điểm,1,0
toả sáng,1,0
toàn lực,0,0
toàn sức,0,0
toàn tâm,1,0
toàn tâm toàn ý,1,0
toàn vẹn,1,0
toàn ý,1,0
tóc bạc,0,1
tối cao,1,0
tội lỗi,0,1
tới lui,0,1
tối om,0,1
tối ưu,1,0
tốn,0,1
tôn giáo,0,0
tôn kính,1,0
tốt đẹp,1,0
tốt tính,1,0
trả lại,1,0
trái đạo lý,0,1
trái nhau,0,1
trái với phép tắc,0,1
trái với thiên nhiên,0,1
trái với tục lệ,0,1
trầm cảm,0,1
trầm tính,1,0
trận đánh,0,1
tràn trề sức sống,1,0
trần trụi,0,1
trang nhã,1,0
trắng như phấn,1,0
tránh,0,1
tranh cãi,0,1
tranh đua,0,1
tránh xa,0,1
trao đổi,1,0
tráo trở,0,1
trật tự,1,0
trẻ con,0,0
trẻ thơ,1,0
trẻ tuổi,0,0
trệch đi,1,0
trơ lì,0,1
trở nên xấu đi,0,1
trời cho,0,0
trơn bóng,0,0
tròn đầy,1,0
trông còn mới,1,0
trọng đại,1,0
trông nom,1,0
trống rỗng,0,1
trú ẩn,1,0
trù bị,0,0
trụ cột,1,0
trung kiên,1,0
trung nghĩa,1,0
trung tâm,1,0
trung thành,1,0
trung thực,1,0
trúng tuyển,1,0
trường cửu,1,0
truy nã,0,1
truyền,1,0
truyền thống,1,0
truyền thuyết,0,0
từ bi,1,0
tự cao tự đại,0,1
tự điển,1,0
tự động,0,0
tự phát,0,0
tự sinh,0,0
tự tin,1,0
tuấn tú,1,0
tục,0,1
tục tĩu,0,1
túng thiếu,0,1
tươi cười,1,0
tươi đẹp,1,0
tươi mát,1,0
tươi rói,1,0
tươi roi rói,1,0
tươi tắn,1,0
tươi tốt,1,0
tươi vui,1,0
tương lai,0,0
tương thích,1,0
túp lều,1,0
tuyên thệ,1,0
tuyệt,1,0
u ám,0,1
u buồn,0,0
u bướu,0,1
ủ rột,0,1
ủ rũ,0,1
u sầu,0,1
ưa chuộng,1,0
ưa mắt,1,0
ưa nhìn,1,0
uốn khúc,0,1
ưu tú,1,0
uy,1,0
ủy mị,0,1
uy nghiêm,1,0
ủy nhiệm,1,0
uytín,1,0
vá víu,0,1
vận động không ngừng,0,0
vận động liên tục,0,0
vận hành được,1,0
vận may,1,0
văn vẻ,0,1
van xin,0,1
vắng mặt,0,1
vây,0,0
vây kín,0,0
vây quanh,0,0
về nhất,1,0
vệ sĩ,1,0
vẻ ta đây,0,1
vẹn nguyên,1,0
vị kỉ,0,1
vị kỷ,0,1
viện cớ,0,1
viện hàn lâm,1,0
vô đạo đức,0,1
vô giá trị,0,1
vô học thức,0,1
vô hồn,0,1
vô hy vọng,0,1
vô lí,0,1
vô nguyên tắc,0,1
vô phép,0,1
vô tác dụng,0,1
vô tài,0,1
vô thừa nhận,0,1
vô tình,0,1
vô ưu,1,0
vụ lợi,0,1
vua chúa,0,0
vui,1,0
vui chơi,1,0
vui đùa,1,0
vui lòng,1,0
vui nhộn,1,0
vui sướng,1,0
vui tai,1,0
vui tánh,1,0
vui tươi,1,0
vui vẻ,1,0
vững chắc,1,0
vung phí,0,1
vửng vàng,1,0
vụng về,0,1
vượt mức cho phép,1,0
vượt trội,1,0
vứt đi,0,1
xa cách,0,1
xa lánh,0,1
xà nhà,1,0
xa rời thực tế,0,1
xác đáng,1,0
xấc láo,0,1
xác minh,1,0
xác nhận,1,0
xâm lấn,0,1
xâm phạm,0,1
xầm xì,0,1
xanh tốt,1,0
xanh tươi,1,0
xấu,0,1
xấu đi,0,1
xấu tính,0,0
xấu xí,0,1
xe cấp cứu,0,0
xế chiều,1,0
xe cứu thương,0,0
xéo,0,1
xét xử,0,1
xiêu,1,0
xinh,1,0
xinh đẹp,1,0
xinh xắn,1,0
xinh xinh,1,0
xoa bóp,1,0
xoay ngược,0,0
xót xa,0,1
xuềnh xoàng,0,1
xui,0,1
xun xoe bợ đỡ,0,1
xun xoe khúm núm,0,1
xứng đáng,1,0
xưng tội,0,0
xuôi ngược,0,1
ý thức được,1,0
ý tưởng,0,0
yên ả,1,0
yên lành,1,0
yên lòng,1,0
yên tĩnh,1,0
yếu đuối,0,1
yêu hoà bình,1,0
yêu nhạc,1,0
yêu nước,1,0
3D,0,0
a xít,0,1
âm,0,1
âm ấm,1,0
âm chuẩn,1,0
am hiểu,1,0
ẩm ướt,0,0
amoniac,0,0
ẩn danh,0,0
ẩn dật,0,0
ẩn nấp,0,1
an tâm,0,0
ấn tượng,1,0
ân xá,1,0
Ăn xin,0,1
anh dũng,1,0
anh hùng ca,1,0
áo dài trắng,0,0
ảo diệu,0,0
ảo thuật,0,1
áp chót,0,0
át,1,0
ẩu,0,1
axit,0,0
ba lê,1,0
bá tước,1,0
bá tước phu nhân,1,0
bác ai,1,0
bác ái,1,0
bác bỏ,0,1
bác sĩ da liễu,0,0
bạch tuộc,0,0
bãi bỏ,0,1
bãi lầy,0,1
bài phê bình,1,0
bại sản,0,1
bài tập về nhà,0,0
bám,0,1
băm,0,1
bám chắc,0,1
bận bịu,0,1
ban bồi thẩm,0,0
bản chính,1,0
bán đấu giá,0,0
bạn đọc,0,0
ban giám khảo,0,0
bần hàn,0,1
bắn lên,0,0
bản nháp,0,0
bản quyền,0,0
ban sơ,0,0
bần tiện,0,1
bàn tính,0,0
bắn tung tóe,0,0
bảng,0,0
bằng cấp,1,0
băng giá,0,1
bằng lòng,1,0
bang quơ,0,1
bằng sáng chế,1,0
bằng vàng,1,0
bánh pho mát,0,1
bào chữa,1,0
bao gồm,1,0
báo hiệu,1,0
bảo lãnh,0,0
bảo quản,0,0
bảo thủ,0,1
báo tin,0,0
bảo trì,0,0
báo trước,1,0
bấp bênh,0,1
bập bùng,0,0
bất biến,0,0
bất cẩn,0,1
bất cân xứng,0,1
bắt chức,0,1
bắt chước,1,0
bất đồng,0,1
bất hợp lí,0,1
bất hợp lý,0,1
